id,label_malay,label_english,type
C001,kegelisahan,,Condition
TRT001,pernafasan dalam: tarik nafas dalam-dalam,,Treatment
TRT002,tahan sebentar,,Treatment
TRT003,lepaskan secara perlahan. ulangi langkah ini beberapa kali berbual dengan seseorang: berkongsi perasaan dengan orang yang anda percaya boleh meredakan kegelisahan yang dialami. anda boleh meluahkannya kepada ahli keluarga atau rakan baik anda mengatur semula fikiran anda: kenal pasti fikiran-fikiran negatif,,Treatment
STR001,cuba tukarkannya kepada perspektif yang lebih positif lakukan senaman: aktiviti seperti berjoging atau berenang boleh mengurangkan hormon tekanan emosi,,Strategy
STR002,meningkatkan rasa gembira teknik relaksasi: kaedah seperti meditasi atau yoga boleh membantu menenangkan jiwa anda. bagi mereka yang beragama islam,,Strategy
TRT004,anda boleh cuba berzikir,,Treatment
TRT005,membaca al-quran atau bersolat sunat 2 rakaat sebagai kaedah menenangkan diri kurangkan pengambilan kafein,,Treatment
STR003,alkohol : kedua-dua bahan ini merupakan pantang larang kegelisahan,,Strategy
TRT006,boleh mempengaruhi kadar degupan jantung,,Treatment
TRT007,menambah kegelisahan anda atur rutin harian anda: memiliki rutin harian akan memberikan anda rasa teratur,,Treatment
TRT008,mengurangkan kegelisahan rujuk pakar: jika serangan kegelisahan menjadi terlalu kerap,,Treatment
TRT009,ada sesetengah individu yang mungkin akan mengalami sesak nafas apabila terlalu gelisah . apakah cara mengatasi kegelisahan sesak nafas ini? pada ketika ini,,Treatment
TRT010,amat penting untuk anda cuba menenangkan diri,,Treatment
STR004,fokus kepada pernafasan anda. tip untuk mengatasi kegelisahan. teknik pernafasan diafragma sangat membantu. caranya adalah dengan menarik nafas secara dalam melalui hidung,,Strategy
TRT011,pastikan perut anda mengembang. kemudian,,Treatment
TRT012,hembus nafas anda melalui mulut . cara hilangkan serangan kegelisahan ini dapat memastikan tubuh anda mendapat oksigen yang cukup,,Treatment
TRT013,meredakan rasa sesak nafas yang berlaku. jika anda melihat mana-mana individu mengalami sesak nafas disebabkan serangan kegelisahan,,Treatment
STR005,ajarkan mereka teknik ini untuk membantu meredakan serangan kegelisahan yang dialami. kesimpulan walaupun serangan kegelisahan boleh mengganggu aktiviti seharian kita,,Strategy
TRT014,dengan pengetahuan,,Treatment
TRT015,cara hilangkan serangan kegelisahan yang tepat,,Treatment
TRT016,kita sebenarnya boleh menghadapinya. dapatkan bantuan apabila perlu,,Treatment
TRT017,jangan segan untuk berkongsi perasaan anda. perlu diingat bahawa kegelisahan adalah sebahagian daripada kehidupan. namun,,Treatment
TRT018,dengan sokongan,,Treatment
STR006,teknik yang betul,,Strategy
TRT019,kita boleh melaluinya dengan penuh keyakinan,,Treatment
TRT020,gangguan tidur kesukaran untuk menumpukan perhatian boleh meningkatkan risiko penyakit jantung ubat kegelisahan disorder adakah penyakit kegelisahan boleh sembuh? perlu diketahui bahawa tiada penawar untuk gangguan kegelisahan ini. namun,,Treatment
TRT021,ia masih boleh dirawat menerusi penggunaan beberapa jenis ubat kegelisahan hospital. antara ubat biasa yang digunakan untuk gangguan kegelisahan ialah benzodiazepines,,Treatment
TRT022,buspirone,,Treatment
TRT023,antidepresan,,Treatment
TRT024,penyekat beta,,Treatment
TRT025,minyak aromaterapi. lihat penerangan lanjut di bawah ini: #,,Treatment
TRT026,benzodiazepines benzodiazepines adalah salah satu ubat yang kerap digunakan untuk merawat kegelisahan . ia berfungsi dengan meningkatkan kesan neurotransmitter tertentu dalam otak yang dikenali sebagai gaba. ini membantu untuk menenangkan otak,,Treatment
TRT027,mengurangkan perasaan kegelisahan. benzodiazepines biasanya digunakan untuk merawat kegelisahan akut,,Treatment
TRT028,juga gangguan kegelisahan biasa. walau bagaimanapun,,Treatment
TRT029,penggunaan jangka panjang boleh menyebabkan ketagihan,,Treatment
TRT030,beberapa kesan sampingan termasuklah mengantuk,,Treatment
TRT031,kehilangan koordinasi. ubat ini hanya boleh didapati dengan preskripsi doktor. #,,Treatment
TRT032,buspirone buspirone adalah ubat yang dihasilkan khusus untuk merawat kegelisahan kronik. berbeza dengan benzodiazepines,,Treatment
TRT033,ia tidak menyebabkan ketagihan. ubat ini berfungsi dengan cara mempengaruhi neurotransmitter yang terlibat dalam tindak balas kegelisahan . ia juga biasa digunakan untuk merawat gangguan kegelisahan umum. kesannya mungkin lebih lambat berbanding benzodiazepines,,Treatment
TRT034,akan tetapi ia mempunyai kesan sampingan yang lebih sedikit. ubat ini juga memerlukan preskripsi daripada doktor yang merawat anda. #,,Treatment
TRT035,ubat kegelisahan di farmasi: antidepresan ubat antidepresan juga merawat kegelisahan. walaupun kebanyakan ubat penenang depresi digunakan untuk merawat kemurungan,,Treatment
TRT036,namun beberapa jenis antidepresan juga berkesan dalam mengubati kegelisahan. ubat ini bertindak dengan cara menyeimbangkan bahan kimia dalam otak yang mempengaruhi mood,,Treatment
TRT037,emosi. antidepresan boleh membantu merawat pelbagai jenis kegelisahan termasuk gangguan kegelisahan umum,,Treatment
TRT038,gangguan panik . kesannya mungkin boleh dilihat dalam tempoh beberapa minggu selepas pengambilannya. antara kesan sampingan ubat ini termasuklah sakit kepala,,Treatment
TRT039,mual,,Treatment
TRT040,gangguan tidur. ubat ini turut memerlukan preskripsi doktor anda. #,,Treatment
TRT041,ubat kegelisahan : penyekat beta ( beta-blockers ) penyekat beta biasanya digunakan untuk merawat tekanan darah tinggi . akan tetapi,,Treatment
TRT042,ia juga boleh membantu mengurangkan gejala fizikal kegelisahan seperti degupan jantung yang cepat. ia berfungsi dengan menghalang kesan hormon adrenalin. ubat ini boleh digunakan untuk merawat kegelisahan situasi seperti fobia sosial. #,,Treatment
TRT043,minyak aromaterapi minyak aromaterapi boleh menenangkan otak. minyak aromaterapi seperti minyak lavender,,Treatment
TRT044,chamomile boleh membantu meredakan kegelisahan. minyak ini bukanlah sejenis ubat khusus,,Treatment
TRT045,namun ia adalah remedi atau rawatan alternatif bagi beberapa gangguan mental. minyak aromaterapi boleh memberikan kesan menenangkan kepada otak anda apabila dihidu. ia boleh digunakan sebagai sebahagian daripada rutin harian untuk membantu mengurangkan tekanan emosi,,Treatment
TRT046,kegelisahan. minyak ini juga selamat digunakan kerana ia adalah antara kaedah semula jadi dalam merawat kegelisahan. menariknya,,Treatment
TRT047,minyak ini boleh didapati tanpa preskripsi doktor. kesimpulan kegelisahan adalah masalah yang serius,,Treatment
TRT048,memerlukan rawatan yang sesuai. terdapat pelbagai pilihan ubat yang boleh membantu mengurangkan gejala kegelisahan yang anda alami bagi persoalan adakah penyakit kegelisahan boleh sembuh. namun pemilihan ubat ini adalah bergantung kepada perbincangan bersama doktor yang merawat. perhatian! setiap jenis ubat juga mungkin tidak memberikan kesan yang sama kepada individu lain yang menggunakannya. oleh itu,,Treatment
TRT049,amat penting untuk mendapatkan nasihat daripada doktor terlebih dahulu,,Treatment
T001,kegelisahan sosial gangguan kegelisahan umum gangguan tekanan emosi pasca-trauma ( stres pasca trauma ) gangguan kegelisahan boleh menjejaskan cara seseorang berfikir,,Trigger
T002,merasa,,Trigger
T003,bertindak,,Trigger
T004,boleh menimbulkan gejala fizikal yang serius. memahami punca penyakit kegelisahan,,Trigger
T005,emosi. mari kita kenali punca punca kegelisahan serta cara untuk mengenali,,Trigger
T006,mengatasinya. punca penyakit kegelisahan tujuh perkara di bawah ini adalah faktor pemicu yang paling biasa yang mencetuskan tanda tanda kegelisahan : #,,Trigger
T007,pemakanan,,Trigger
T008,kafein pengambilan makanan,,Trigger
T009,minuman berkafein boleh mencetuskan kegelisahan. pemakanan yang tidak seimbang boleh mempengaruhi mood,,Trigger
T010,meningkatkan kegelisahan. misalnya,,Trigger
T011,kekurangan vitamin b,,Trigger
T012,omega-3 boleh menyebabkan simptom kegelisahan muncul. pengambilan kafein yang berlebihan juga boleh meningkatkan tanda tanda kegelisahan seperti degupan jantung,,Trigger
T013,tekanan darah,,Trigger
T014,yang kemudiannya menimbulkan rasa gelisah. mengetahui jenis makanan yang meningkatkan atau mengurangkan kegelisahan dapat membantu dalam pengurusan mood harian anda. #,,Trigger
T015,persekitaran sosial,,Trigger
T016,hubungan interpersonal lingkungan sosial yang buruk,,Trigger
T017,termasuklah hubungan yang toksik atau tekanan di tempat kerja,,Trigger
T018,boleh mencetuskan kegelisahan. kekurangan sokongan sosial atau berasa terpinggir juga boleh menyebabkan kegelisahan. membina hubungan yang sihat,,Trigger
T019,mendapat sokongan daripada rakan-rakan,,Trigger
T020,keluarga boleh membantu mengelakkan keadaan ini. #,,Trigger
T021,punca penyakit kegelisahan: keadaan kesihatan fizikal kesihatan fizikal sememangnya berkait rapat dengan kesihatan mental anda. penyakit kronik,,Trigger
T022,kesakitan berterusan,,Trigger
T023,atau kegelisahan tentang potensi masalah kesihatan juga boleh mencetuskan kegelisahan. 7 simptom kegelisahan disorder . terdapat juga penyakit seperti tiroid hiperaktif yang boleh memicu gejala kegelisahan. komunikasi secara terbuka dengan profesional kesihatan dapat membantu dalam pengurusan simptom ini. #,,Trigger
T024,masalah kewangan masalah kewangan sering kali menjadi punca kegelisahan depresi . tekanan untuk membayar bil,,Trigger
T025,kehilangan pekerjaan,,Trigger
T026,atau pembayaran hutang boleh mengakibatkan kegelisahan kronik. pengurusan kewangan yang bijak seperti menyediakan bajet,,Trigger
T027,menyimpan wang simpanan,,Trigger
T028,boleh membantu mengurangkan tekanan emosi kewangan,,Trigger
T029,kegelisahan yang berkaitan. #,,Trigger
T030,punca penyakit kegelisahan: bahan kimia,,Trigger
T031,ubat-ubatan penggunaan bahan kimia termasuklah alkohol,,Trigger
T032,dadah,,Trigger
T033,boleh mencetuskan atau memburukkan lagi gejala penyakit kegelisahan . ubat-ubatan seperti pil diet atau ubat yang mengandungi kafein juga boleh meningkatkan simptom kegelisahan. sebaiknya,,Trigger
T034,anda perlu berhenti atau mengurangkan penggunaan bahan-bahan ini dengan bantuan profesional kesihatan. cara ini boleh membantu mengurangkan simptom kegelisahan daripada berlaku. #,,Trigger
T035,peristiwa traumatik pengalaman trauma boleh menyebabkan kegelisahan . pengalaman traumatik seperti kemalangan,,Trigger
T036,peperangan,,Trigger
T037,atau menjadi mangsa jenayah boleh meninggalkan kesan mendalam,,Trigger
T038,mencetuskan stres pasca trauma. stres pasca trauma merupakan antara jenis gangguan kegelisahan yang agak kuat. terapi seperti emdr boleh digunakan untuk merawat trauma,,Trigger
T039,mengurangkan simptom kegelisahan yang berkaitan. #,,Trigger
T040,kecenderungan genetik,,Trigger
T041,biokimia faktor genetik,,Trigger
T042,biokimia turut berperanan dalam risiko penyakit kegelisahan ini. sejarah keluarga yang mempunyai gangguan kegelisahan,,Trigger
T043,atau ketidakseimbangan kimia dalam otak boleh menjadi antara faktor risikonya. namun,,Trigger
T044,ia boleh dikendalikan dengan bantuan melalui ubat-ubatan atau terapi. kesimpulan kini anda telah mengetahui 7 punca penyakit kegelisahan yang biasa berlaku. ambil perhatian bahawa kegelisahan adalah respons kompleks yang dipengaruhi oleh banyak faktor. ia boleh meliputi soal pemakanan,,Trigger
T045,hubungan sosial hingga kepada faktor kesihatan fizikal,,Trigger
T046,tanda-tanda serangan kegelisahan adalah langkah penting dalam mengendalikannya. dalam kebanyakan kes,,Trigger
T047,bantuan daripada profesional kesihatan mental adalah penting dalam mencari pendekatan yang paling sesuai,,Trigger
T048,berkesan,,Trigger
S001,sakit pada bahagian dada jantung berdegup kencang kesukaran bernafas seperti hiperventilasi menggeletar menggigil loya berpeluh-peluh kesemutan atau kebas pada jari tangan atau kaki anda selain simptom serangan kegelisahan di atas,,Symptom
S002,anda juga mungkin akan merasakan beberapa perkara lain seperti di bawah ini: tekanan atau ketakutan yang teruk rasa seperti tercekik takut hilang kawalan rasa seperti anda akan mati derealisasi (tidak merasakan realiti di sekeliling) atau depersonalisasi (perasaan terasing daripada diri sendiri) serangan kegelisahan ini sangat tidak menyenangkan,,Symptom
S003,ia juga boleh menjadi sesuatu yang menakutkan. antara tanda-tanda kegelisahan. jika anda mengalami simptom serangan kegelisahan,,Symptom
S004,adalah penting untuk berjumpa dengan profesional kesihatan seberapa segera. mereka boleh melakukan diagnosis,,Symptom
S005,tiada pencetus khusus yang menyebabkan serangan kegelisahan ini terjadi. akan tetapi,,Symptom
S006,individu yang mempunyai fobia boleh mengalami pencetus berkaitan fobia yang membawa kepada serangan kegelisahan. sebagai contoh,,Symptom
S007,seseorang yang mempunyai trypanophobia (ketakutan teruk terhadap jarum) mungkin mengalami serangan kegelisahan jika mereka perlu melakukan ujian darah untuk tujuan perubatan . bagi sesetengah individu lain pula,,Symptom
S008,ketakutan untuk mengalami serangan kegelisahan itu sendiri biasanya sudah cukup untuk menjadi pencetus kepada berlakunya serangan kegelisahan. oleh sebab itu,,Symptom
S009,adalah amat penting untuk mengambil perhatian bahawa salah satu kriteria untuk gangguan ini ialah ia tidak mempunyai pencetus yang diketahui atau benar-benar jelas. ini punca serangan kegelisahan. bila perlu mendapatkan bantuan? talian yang boleh anda hubungi untuk mendapatkan bantuan. apakah cara merawat kegelisahan? berjumpalah dengan doktor atau profesional kesihatan jika anda telah mengalami gejala gangguan kegelisahan. doktor akan meminta anda menerangkan simptom-simptom yang berlaku,,Symptom
S010,kekerapan anda mengalaminya,,Symptom
S011,berapa lama tempoh anda mengalaminya. doktor juga mungkin menjalankan pemeriksaan fizikal untuk menilai keadaan lain yang boleh menyebabkan gejala anda. kita memahami bahawa kadangkala agak sukar untuk bercakap tentang perasaan,,Symptom
S012,emosi,,Symptom
S013,kehidupan peribadi masing-masing. anda mungkin mengalami gangguan kegelisahan jika: anda alami serangan yang kerap,,Symptom
S014,tidak dijangka,,Symptom
S015,diikuti dengan sekurang-kurangnya kegelisahan berterusan yang berlaku selama sebulan atau,,Symptom
S016,kegelisahan akan mengalami serangan lain pada masa akan datang,,Symptom
TRT050,kafein menurut persatuan kopi amerika syarikat,,Treatment
TRT051,62% rakyat negara tersebut minum kopi. namun,,Treatment
TRT052,tahukah anda,,Treatment
TRT053,kopi mungkin dalang sebenar di sebalik kegelisahan yang anda alami? jika anda sering berdebar atau resah,,Treatment
TRT054,elakkan kopi kerana ia merupakan salah satu penyebab simptom kegelisahan teruk! kopi merupakan sejenis stimulan. malah,,Treatment
TRT055,bagi penghidap kegelisahan,,Treatment
TRT056,kopi mungkin mendatangkan lebih banyak keburukan daripada kebaikan. jadi,,Treatment
TRT057,fikir dulu sebelum anda teguk kopi bagi memulakan sebarang kerja! benar,,Treatment
TRT058,kopi merupakan minuman yang selamat terutamanya jika diambil dalam dos yang rendah. namun,,Treatment
TRT059,kajian menunjukkan minuman ini boleh membuatkan keresahan menjadi semakin serius,,Treatment
TRT060,boleh menyebabkan serangan panik! tip: orang dewasa yang mengambil lebih daripada 400 mg kafein setiap hari lebih berisiko mengalami keresahan,,Treatment
TRT061,serangan panik. jika anda penggemar kopi,,Treatment
STR007,ketahuilah bahawa secawan kopi bersaiz ‘grande’ mengandungi hampir 310 mg kafein! pantang larang kegelisahan 2: gula suka teh ais,,Strategy
TRT062,makanan manis,,Treatment
TRT063,juga pencuci mulut? inilah masanya untuk anda kurangkan pengambilan makanan bergula. menurut pakar,,Treatment
TRT064,gula merupakan penyebab utama keresahan,,Treatment
TRT065,juga depresi! menurut sebuah kajian yang dimuatkan di dalam the american journal of clinical nutrition,,Treatment
TRT066,peningkatan pengambilan gula dalam diet harian didapati dapat meningkatkan risiko depresi. makanan yang manis akan meningkatkan kadar gula dalam darah . akibatnya,,Treatment
TRT067,anda akan jadi makin resah,,Treatment
TRT068,gelisah! jika boleh,,Treatment
TRT069,jauhkan diri daripada makanan bergula. bukannya tidak boleh,,Treatment
TRT070,tapi simpan makanan manis untuk acara yang istimewa sahaja ya! tip: jika anda inginkan sesuatu yang manis,,Treatment
TRT071,beralihlah kepada buah-buahan segar seperti epal,,Treatment
TRT072,pir,,Treatment
TRT073,beri atau oren,,Treatment
TRT074,makanan segera atau daging yang diproses makanan yang menyebabkan kegelisahan. daging yang diproses,,Treatment
TRT075,makanan segera seperti pizza,,Treatment
TRT076,sosej,,Treatment
TRT077,kentang goreng,,Treatment
TRT078,gula-gula,,Treatment
TRT079,makanan bergoreng merupakan antara punca inflamasi. jika diambil terlalu banyak,,Treatment
TRT080,ia boleh menyebabkan kegelisahan,,Treatment
TRT081,membuatkan mood anda terganggu. benar,,Treatment
TRT082,makanan ini mudah disediakan,,Treatment
TRT083,boleh didapati dengan harga yang murah. menurut sebuah kajian yang dimuatkan dalam jurnal public health nutrition,,Treatment
TRT084,individu yang gemar mengambil makanan segera mempunyai risiko sebanyak 51% untuk mengalami depresi berbanding mereka yang tidak mengambilnya. amalkan pengambilan makanan hilangkan kegelisahan yang sihat untuk mengurangkan simptom kegelisahan teruk anda. diet yang kaya dengan bijirin penuh,,Treatment
TRT085,buah-buahan,,Treatment
TRT086,sayur-sayuran,,Treatment
TRT087,ikan dapat membuatkan anda rasa lebih sihat,,Treatment
STR008,bertenaga. pantang larang kegelisahan 4: minuman beralkohol minuman beralkohol tidak akan menghilangkan masalah anda,,Strategy
TRT088,ia hanya akan membuatkan anda semakin resah! sebab itulah,,Treatment
STR009,sebarang minuman beralkohol merupakan pantang larang kegelisahan ! menurut pakar,,Strategy
TRT089,minuman ini mempunyai kesan negatif terhadap kesihatan. selain itu,,Treatment
TRT090,ia akan menyebabkan dehidrasi,,Treatment
TRT091,akan mencetuskan pelbagai simptom kegelisahan. ambil minuman ini secara sederhana. jika anda menghidap penyakit tertentu,,Treatment
TRT092,elakkan minuman beralkohol,,Treatment
TRT093,ubat-ubatan tertentu kesan sampingan ubat-ubatan. ada beberapa jenis ubat-ubatan yang mempunyai kesan sampingan tertentu. malah,,Treatment
TRT094,ada antaranya yang akan mencetuskan simptom kegelisahan atau serangan panik. antara ubat yang mempunyai kesan sampingan sebegini ialah ubat-ubatan tiroid,,Treatment
TRT095,asma. jika anda mengambil ubat untuk merawat kegelisahan contohnya benzodiazepines,,Treatment
TRT096,pastikan anda mengambilnya mengikut arahan doktor. jangan berhenti secara tiba-tiba kerana ia hanya akan menyebabkan keresahan anda menjadi semakin serius. cara hilangkan serangan kegelisahan berikut merupakan cara merawat kegelisahan tanpa ubat yang anda boleh lakukan: berehat jika perlu. tonton televisyen,,Treatment
TRT097,dengar lagu,,Treatment
TRT098,berminyak,,Treatment
TRT099,berlemak. kurangkan pengambilan alkohol,,Treatment
STR010,kafein. kedua minuman ini adalah pantang larang kegelisahan. dapatkan tidur yang mencukupi. bersenam setiap hari juga merupakan cara hilangkan serangan kegelisahan yang berkesan. senaman dapat membuatkan mood anda stabil. berpandangan positif. belajar tentang kondisi anda,,Strategy
TRT100,perhubungan,,Treatment
TRT101,kehidupan seharian rasa takut,,Treatment
TRT102,gelisah yang sukar untuk dikawal kegelisahan yang dialami berkait rapat dengan kesihatan fizikal ingin membunuh diri [embed-health-tool-bmi],,Treatment
S017,jantung selalu berdebar,,Symptom
S018,antara tanda-tanda serangan kegelisahan menurut national institute of mental health (nimh),,Symptom
S019,jantung yang berdebar lebih laju daripada biasa merupakan salah satu tanda kegelisahan. kajian menunjukkan,,Symptom
S020,individu yang sedang mengalami tekanan perasaan akan menghasilkan hormon adrenalin. hormon ini akan menyebabkan jantung mengepam dengan lebih pantas. seperti yang dijelaskan sebelum ini,,Symptom
S021,tindak balas lawan atau lari pesakit akan diaktifkan ketika mereka rasa gelisah atau bimbang. akibatnya,,Symptom
S022,jantung pesakit akan berdegup dengan laju tanpa sebab. cara mengawal kegelisahan dengan menonton cerita seram. #,,Symptom
S023,sering sesak nafas tanda penyakit kegelisahan penghidap kegelisahan akan mengalami hiperventilasi kesan daripada degupan jantung yang terlalu pantas. hiperventilasi akan menyebabkan pernafasan menjadi laju,,Symptom
S024,mungkin akan membuatkan pesakit sesak nafas. apabila kita bernafas,,Symptom
S025,kita akan menyedut oksigen,,Symptom
S026,menghembus karbon dioksida. namun,,Symptom
S027,jika kita bernafas terlalu laju,,Symptom
S028,tahap karbon dioksida dalam darah akan berkurang untuk memastikan badan mendapat lebih banyak oksigen. sebab itulah,,Symptom
S029,pesakit kegelisahan akan nampak ‘kepenatan’ umpama baru selesai berlari! latihan pernafasan amat penting untuk mereka yang menghidap masalah kegelisahan . dengan pernafasan yang betul,,Symptom
S030,pesakit boleh bernafas dengan perlahan,,Symptom
S031,menggunakan diafragma untuk lebih relaks,,Symptom
S032,bertenang. tanda-tanda serangan kegelisahan #,,Symptom
S033,rasa penat sepanjang masa selain itu,,Symptom
S034,rasa penat yang berpanjangan juga boleh menjadi petanda kegelisahan . rasa bimbang,,Symptom
S035,gelisah sepanjang masa boleh menyebabkan badan kita sentiasa berada dalam keadaan ‘berjaga-jaga’. kegelisahan yang dialami juga boleh menyebabkan pesakit sukar untuk tidur,,Symptom
S036,membuatkan keletihan yang berlaku menjadi bertambah serius. #,,Symptom
S037,sukar tidur malam kesan kegelisahan terhadap kualiti tidur. jika anda sukar tidur,,Symptom
S038,atau sering terjaga tengah malam,,Symptom
S039,tidak boleh tidur semula,,Symptom
S040,ini mungkin berlaku disebabkan penyakit kegelisahan. tahap hormon tekanan emosi dalam badan yang terlalu tinggi membuatkan pesakit sukar untuk relaks,,Symptom
S041,tidur lena. masalah ini akan menjadi semakin teruk jika pesakit mengambil kafein pada keesokan harinya untuk kekal berjaga. malah,,Symptom
S042,simptom penyakit kegelisahan juga akan menjadi lebih teruk disebabkan kopi. #,,Symptom
S043,otot rasa kejang,,Symptom
S044,sakit disebabkan penyakit kegelisahan otot manusia akan mengeras,,Symptom
S045,menjadi kejang sebagai respons semula jadi terhadap tekanan emosi. malah,,Symptom
S046,mereka yang sering tertekan juga cenderung ‘mengeraskan’ otot mereka tanpa sedar dalam satu tempoh masa yang panjang. oleh sebab itu,,Symptom
S047,penghidap kegelisahan selalunya akan rasa sakit pada : kawasan bahu belakang badan leher malah,,Symptom
S048,ada juga yang akan mengetap gigi tanpa sedar,,Symptom
S049,menyebabkan kesakitan di sekitar rahang. lama-kelamaan,,Symptom
S050,pesakit boleh menghidap migrain atau sakit kepala disebabkan terlampau tekanan emosi. #,,Symptom
S051,tidak sedap perut perut kembung,,Symptom
S052,cirit-birit,,Symptom
S053,kerap sendawa juga merupakan tanda kegelisahan . walaupun nampak biasa,,Symptom
S054,semua simptom ini boleh mengganggu kehidupan pesakit jika ia tidak dirawat secepat mungkin. #,,Symptom
S055,penyakit kegelisahan menyebabkan anda rasa loya tidak dinafikan,,Symptom
S056,masalah kegelisahan boleh memberikan kesan buruk pada sistem penghadaman seseorang. menurut sebuah kajian yang dimuatkan di dalam jurnal general hospital psychiatry,,Symptom
S057,individu yang mengalami kegelisahan mempunyai kebarangkalian yang lebih tinggi untuk muntah atau rasa loya selepas makan. #,,Symptom
S058,tidak berhenti berpeluh kegelisahan menyebabkan individu berpeluh dengan lebih banyak. disebabkan rasa gemuruh,,Symptom
S059,gelisah yang berpanjangan,,Symptom
S060,pesakit akan kerap berpeluh lebih-lebih lagi di kawasan tapak tangan atau ketiak. simptom ini juga akan membuatkan penghidap kegelisahan rasa runsing,,Symptom
S061,rendah keyakinan diri. makin memburukkan keadaan,,Symptom
S062,pesakit juga mungkin akan alami masalah bau badan yang teruk. simptom penyakit kegelisahan #,,Symptom
S063,terlebih makan atau kurang selera makan masalah kegelisahan juga boleh membuatkan anda terlebih makan atau kurang selera makan . ada orang yang tidak lalu makan disebabkan rasa tekanan emosi yang berpanjangan. namun,,Symptom
